Month,PDP Base (BOE/d),Midland new pads (BOE/d),Delaware new pads (BOE/d),New pads total (BOE/d),Total (BOE/d),BOE / month,Revenue Oil,Revenue NGL,Revenue Gas,Revenue,OPEX,EBITDA,CAPEX,Net Operating Cash Flow,SEC Net Cash Flow,Discount Factor,PV (all-in),PV (SEC)
84,46532.27549790594,50755.96609118464,21759.489676562825,72515.45576774747,119047.7312656534,3619051.0304758633,127787244.26569055,13347784.010601081,4983433.268965264,146118461.5452569,52801954.534642845,93316507.01061407,72828000.0,20488507.010614067,26821846.31394683,0.5111242763370654,10472173.319027005,13709296.787240056
85,46186.36865578123,50963.535363262985,21833.305721042187,72796.84108430517,118983.2097400864,3617089.5760986265,127717986.09621207,13340549.774566956,4980732.346287809,146039268.21706685,52773336.91527896,93265931.3017879,72828000.0,20437931.301787898,26767838.059960485,0.507080743281347,10363681.395643715,13573455.219479492
86,45845.073625400226,51169.1481634577,21906.272973923376,73075.42113738108,118920.49476278132,3615183.0407885523,127650667.09702748,13333518.091036338,4978107.047165836,145962292.23522967,52745520.56510498,93216771.6701247,72828000.0,20388771.670124695,26715341.99150467,0.5030691988443065,10256963.029509122,13439665.692517912
87,45507.3257066362,51372.84460826246,21978.410356004315,73351.25496426677,118858.58067090296,3613300.8523954498,127584207.77774239,13326576.203804899,4975515.273748535,145886299.25529584,52718059.43644961,93168239.81884623,72828000.0,20340239.818846226,26663516.310538262,0.4990893899621721,10151597.882872244,13307478.089672968
88,45173.06232771459,51574.663556986496,22049.736166515297,73624.39972350179,118797.46205121638,3611442.8463569777,127518602.32772635,13319723.505933806,4972956.799433558,145811282.6330937,52690951.128348306,93120331.50474541,72828000.0,20292331.50474541,26612356.485870123,0.4951410655731746,10047566.644223744,13176870.547826918
89,44842.2250763715,51774.6426644749,22120.26810996136,73894.91077443626,118737.13585080775,3609608.9298645556,127453847.46994552,13312959.655126456,4970431.496423494,145737238.62149546,52664194.28672387,93073044.33477159,72828000.0,20245044.33477159,26561859.962034553,0.491223976601708,9944851.18460438,13047822.476488307
90,44514.75713903755,51972.818431071435,22190.02332153392,74162.84175260535,118677.5988916429,3607799.006305944,127389939.79306038,13306284.295057585,4967939.231683285,145664163.31980124,52637787.50200372,93026375.81779751,72828000.0,20198375.81779751,26512024.078832924,0.48733787594261796,9843433.56853618,12920313.50151798
91,44190.60324037154,52169.22624999614,22259.01839118214,74428.24464117829,118618.84788154982,3606012.9755991143,127326875.76321451,13299697.056604654,4965479.86739998,145592052.68721914,52611729.31399108,92980323.37322807,72828000.0,20152323.373228073,26462846.080526516,0.4834825184456126,9743296.057018692,12794323.468251567
92,43869.70958559692,52363.90045229752,22327.26938642787,74691.16983872539,118560.87942432232,3604250.7344993986,127264651.73487997,13293197.558980683,4963053.261405672,145520902.55526632,52586018.21634623,92934884.33892009,72828000.0,20106884.338920087,26414323.124294043,0.47965766089979806,9644421.10998919,12669832.444050327
93,43552.02380548996,52556.87434952743,22394.7918740019,74951.66622352933,118503.69002901929,3602512.176882186,127203263.96083924,13286785.41077688,4960659.26756677,145450708.6391829,52560652.660711095,92890055.9784718,72828000.0,20062055.9784718,26366452.288015634,0.4758630620183357,9546791.388298849,12546820.720335474
